receipt_date,region,channel,brand,sum,sum_of_brand,total_amount,percent_of_brand_sales
2019-08-27,Свердловская область,nonchain,marlboro,7856,6159519,18989072,0.32
2019-08-27,г. Москва,chain,marlboro,2206,6159519,18989072,0.32
2019-08-27,г. Москва,nonchain,marlboro,25893,6159519,18989072,0.32
2019-08-28,Ленинградская область,chain,marlboro,2999,6159519,18989072,0.32
2019-08-28,Ленинградская область,nonchain,marlboro,23294,6159519,18989072,0.32
2019-08-28,Московская область,chain,marlboro,3007,6159519,18989072,0.32
2019-08-28,Московская область,nonchain,marlboro,20792,6159519,18989072,0.32
2019-08-28,Новосибирская область,chain,marlboro,10084,6159519,18989072,0.32
2019-08-28,Новосибирская область,nonchain,marlboro,11253,6159519,18989072,0.32
2019-08-28,Санкт-Петербург,chain,marlboro,7651,6159519,18989072,0.32
2019-08-28,Санкт-Петербург,nonchain,marlboro,60816,6159519,18989072,0.32
2019-08-28,Свердловская область,chain,marlboro,3109,6159519,18989072,0.32
2019-08-28,Свердловская область,nonchain,marlboro,11674,6159519,18989072,0.32
2019-08-28,г. Москва,chain,marlboro,2762,6159519,18989072,0.32
2019-08-28,г. Москва,nonchain,marlboro,23435,6159519,18989072,0.32
2019-08-29,Ленинградская область,chain,marlboro,3931,6159519,18989072,0.32
2019-08-29,Ленинградская область,nonchain,marlboro,30994,6159519,18989072,0.32
2019-08-29,Московская область,chain,marlboro,2713,6159519,18989072,0.32
2019-08-29,Московская область,nonchain,marlboro,20580,6159519,18989072,0.32
2019-08-29,Новосибирская область,chain,marlboro,6453,6159519,18989072,0.32
2019-08-29,Новосибирская область,nonchain,marlboro,15724,6159519,18989072,0.32
2019-08-29,Санкт-Петербург,chain,marlboro,7870,6159519,18989072,0.32
2019-08-29,Санкт-Петербург,nonchain,marlboro,58666,6159519,18989072,0.32
2019-08-29,Свердловская область,chain,marlboro,2989,6159519,18989072,0.32
2019-08-29,Свердловская область,nonchain,marlboro,10877,6159519,18989072,0.32
2019-08-29,г. Москва,chain,marlboro,3822,6159519,18989072,0.32
2019-08-29,г. Москва,nonchain,marlboro,23704,6159519,18989072,0.32
2019-08-30,Ленинградская область,chain,marlboro,5304,6159519,18989072,0.32
2019-08-30,Ленинградская область,nonchain,marlboro,38339,6159519,18989072,0.32
2019-08-30,Московская область,chain,marlboro,3146,6159519,18989072,0.32
2019-08-30,Московская область,nonchain,marlboro,28478,6159519,18989072,0.32
2019-08-30,Новосибирская область,chain,marlboro,8408,6159519,18989072,0.32
2019-08-30,Новосибирская область,nonchain,marlboro,23929,6159519,18989072,0.32
2019-08-30,Санкт-Петербург,chain,marlboro,17925,6159519,18989072,0.32
2019-08-30,Санкт-Петербург,nonchain,marlboro,86836,6159519,18989072,0.32
2019-08-30,Свердловская область,chain,marlboro,3566,6159519,18989072,0.32
2019-08-30,Свердловская область,nonchain,marlboro,11651,6159519,18989072,0.32
2019-08-30,г. Москва,chain,marlboro,1364,6159519,18989072,0.32
